,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair,skippedColumns
0,2.10_Budget_Presentation_Award_(summary),0.0454545454545454,0.6,0.0845070422535211,0.825,0.0151515151515151,0.3333333333333333,0.0289855072463768,1115.900823354721,3,63,2,12,1,65,2,12,datevalue;datevalue
1,3.09_Census_ACS_Post_Secondary_Education_(detail),0.0433212996389891,0.5217391304347826,0.08,0.4751286449399657,0.0144404332129963,0.2666666666666666,0.0273972602739726,6590.293464183807,12,265,11,295,4,273,11,295,dataset;dataset;dataset;ge_oid;ge_oid;age_range;age_range;associatesdegree;total_post_secondary_attainme_one;total_post_secondary_attainme_one;datevalue;datevalue;datevalue;datevalue
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
7,adult-smoking-prevalence,1.0,0.2580645161290322,0.4102564102564102,0.0148148148148148,0.25,0.08,0.1212121212121212,1339.2351098060608,8,0,23,509,2,6,23,509,comparison;comparison;comparison;comparison
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.1136363636363636,1.0,0.2040816326530612,0.5116279069767442,0.0,0.0,0.0,5412.196350097656,5,39,0,42,0,44,0,42,tmpid;tmpid;tmpid;tmpid;tmpnm;tmpnm;tmpnm;adminst;admunitcd;admunm;admunm;admunm;admunm;admunm;tmpdecsndt;tmpdecsndt;tmpdecsndt;tmpdclracres;tmpurl;tmpurl;tmpurl;tmpurl;gisacres;gisacres;blmacres;blmacres;global_id;global_id;global_id;global_id;shape_length;shape_length;shape_length;shape_area;shape_area;shape_area;shape_area
11,BLM_AZ_Wild_and_Scenic_River_(Line),0.1340782122905028,0.8571428571428571,0.2318840579710145,0.6392857142857142,0.0,0.0,0.0,4191.046412706375,24,155,4,97,0,179,4,97,nlcsid;wsrctgy;wsrctgy;wsrctgy;wsrctgy;nlcsname;nlcsname;nlcsname;nlcsname;nlcsname;global_id;global_id;global_id;shape_length;shape_length
12,BLM_CA_Wilderness_Study_Areas,0.1565656565656565,0.492063492063492,0.2375478927203065,0.360655737704918,0.0,0.0,0.0,7619.395301818848,31,167,32,319,0,198,32,319,nlcsname;nlcsname;nlcsname;nlcsname;nlcsname;wsarcmnd;wsarcmnd;roddate;roddate;roddate;roddate;global_id;global_id;global_id;wsacod_eca;modifydate;modifydate;shape_area;shape_area;shape_length;shape_length;shape_length
13,BLM_Colorado_NLCS_Wild_and_Scenic_Rivers_(Suitable_or_Eligible),0.2949640287769784,0.6721311475409836,0.4099999999999999,0.3423645320197044,0.0431654676258992,0.2307692307692307,0.0727272727272727,7668.285733222961,41,98,20,247,6,133,20,247,wsrctgy;wsrctgy;wsrctgy;wsrctgy;nlcsname;nlcsname;nlcsname;nlcsname;nlcsname;nhdrchcd;nhdrchcd;nhdrchcd;nhdrchcd;nhdrchcd;createdate;createdate;createdate;createdate;modifydate;modifydate;modifydate;coordsrc_two;coordsrc_two;global_id;global_id;global_id;createddate;createddate;createddate;lastediteddate;lastediteddate;lastediteddate;shape_length
14,BLM_Idaho_Land_Use_Planning_Poly,0.238095238095238,0.5769230769230769,0.3370786516853932,0.4344827586206896,0.0,0.0,0.0,5117.294809103012,15,48,11,71,0,63,11,71,lupanm;lupanm;lupanm;lupanm;lupanm;bndryinactdt;bndryinactdt;bndryinactdt;bndryinactdt;gisacres;gisacres;gisacres;global_id;global_id;global_id;global_id;createdate;createdate;createby;createby;createby;modifydate;modifydate;modifydate;modifyby;modifyby;modifyby;idaho_planning_descriptions;idaho_planning_descriptions;idaho_planning_descriptions;idaho_planning_descriptions;idaho_planning_descriptions;shape_area;shape_area;shape_area;shape_length
15,BLM_Natl_ROW_Gateway_West_TLine_Line,0.2631578947368421,0.7142857142857143,0.3846153846153846,0.2638888888888889,0.0,0.0,0.0,1335.4426987171173,5,14,2,51,0,19,2,51,sourcefile;sourcefile;sourcefile;shape_length_two;shape_length
16,BLM_Natl_WesternUS_GRSG_ROD_Habitat_Mgmt_Areas_February_2020,0.8,0.5714285714285714,0.6666666666666666,0.0641025641025641,0.0,0.0,0.0,1600.6751663684845,4,1,3,70,0,5,3,70,eishab;acres;acres;acres;acres;acres;shape_length;shape_length;shape_area;shape_area;shape_area;shape_area
17,BLM_NV_Land_Use_Planning_Area_Existing_Polygons,0.1538461538461538,0.7058823529411765,0.2526315789473684,0.4457142857142857,0.0,0.0,0.0,3664.260717868805,12,66,5,92,0,78,5,92,lupanm;adminst;adminst;bndryinac;bndryinac;bndryinac;gisacres;gisacres;lastedi_one;lastedi_one;lastedi_one;shape_st_ar;shape_length;shape_area
18,BLM_OR_Administrative_Unit_Office_Point_Hub,0.1171875,1.0,0.2097902097902098,0.6666666666666666,0.0,0.0,0.0,3427.050743341446,15,113,0,64,0,128,0,64,y;admunitcd;admunitcd;admunitcd;admunitcd;admuname;admuname;admuname;admuname;admuname;admulabel;admulabel;admulabel;admulabel;blmorgtype;blmorgtype;blmorgtype;blmorgtype;blmorgtype;apprvdt;apprvdt;apprvdt;effdt;effdt;effdt;globalid;globalid;globalid
19,BLM_OR_Other_National_Designation_Polygon_Hub,0.4528301886792453,0.631578947368421,0.5274725274725274,0.2226890756302521,0.0754716981132075,0.2222222222222222,0.1126760563380281,2278.9813089370728,24,29,14,171,4,49,14,171,ondname;ondname;ondname;ondname;ondname;shape_length;shape_length;shape_length;shape_length;shape_area;shape_area;shape_area;shape_area;shape_area
20,BLM_OR_SEORMP_FEIS_Lands_with_Wilderness_Characteristics_Polygon_Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
21,BLM_UT_Congressionally_Designated_Recreation_Areas_(Polygon),0.1153846153846153,0.6428571428571429,0.1956521739130435,0.75,0.0,0.0,0.0,1707.1106667518616,9,69,5,21,0,78,5,21,recsname;recsname;recstype;global_id;global_id;global_id;global_id;shape_length;shape_length;shape_length
22,BLM_UT_National_Scenic_and_Historic_Trails_(Arc),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
