,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair,skippedColumns
0,2.10_Budget_Presentation_Award_(summary),1.0,0.6,0.7499999999999999,0.0375,0.6666666666666666,0.5,0.5714285714285715,2.387001037597656,3,0,2,75,2,1,2,75,datevalue
1,3.09_Census_ACS_Post_Secondary_Education_(detail),0.9230769230769232,0.5217391304347826,0.6666666666666667,0.0188679245283018,0.2307692307692307,0.2142857142857142,0.2222222222222222,22.996702671051025,12,1,11,665,3,10,11,665,dataset;ge_oid;age_range;datevalue
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
7,adult-smoking-prevalence,1.0,0.2580645161290322,0.4102564102564102,0.0148148148148148,0.5,0.1481481481481481,0.2285714285714285,13.829411506652832,8,0,23,509,4,4,23,509,comparison
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.625,1.0,0.7692307692307693,0.0930232558139534,0.625,1.0,0.7692307692307693,35.48356485366821,5,3,0,78,5,3,0,78,tmpid;tmpnm;adminst;admunitcd;admunm;tmpdecsndt;tmpdclracres;tmpurl;gisacres;blmacres;global_id;shape_length;shape_area
11,BLM_AZ_Wild_and_Scenic_River_(Line),1.0,0.6333333333333333,0.7755102040816326,0.0603174603174603,0.631578947368421,0.5217391304347826,0.5714285714285715,11.624138355255129,19,0,11,285,12,7,11,285,wsrctgy;nlcsname;global_id;shape_length
12,BLM_CA_Wilderness_Study_Areas,0.9565217391304348,0.3492063492063492,0.5116279069767442,0.0418943533697632,0.9565217391304348,0.3492063492063492,0.5116279069767442,38.06336116790772,22,1,41,485,22,1,41,485,nlcsname;wsarcmnd;roddate;global_id;wsacod_eca;modifydate;shape_area;shape_length
13,BLM_Colorado_NLCS_Wild_and_Scenic_Rivers_(Suitable_or_Eligible),1.0,0.4590163934426229,0.6292134831460674,0.0603448275862069,0.5357142857142857,0.3125,0.3947368421052631,119.77748274803162,28,0,33,403,15,13,33,403,wsrctgy;nlcsname;createdate;modifydate;coordsrc_two;global_id;createddate;lastediteddate;shape_length
14,BLM_Idaho_Land_Use_Planning_Poly,1.0,0.3461538461538461,0.5142857142857142,0.0620689655172413,0.5555555555555556,0.2272727272727272,0.3225806451612903,45.6138768196106,9,0,17,119,5,4,17,119,lupanm;bndryinactdt;gisacres;global_id;createdate;createby;modifydate;modifyby;idaho_planning_descriptions;shape_area;shape_length
15,BLM_Natl_ROW_Gateway_West_TLine_Line,1.0,0.3333333333333333,0.5,0.0185185185185185,1.0,0.3333333333333333,0.5,2.5214972496032715,1,0,2,51,1,0,2,51,segment;sourcefile;shape_length_two;shape_length
16,BLM_Natl_WesternUS_GRSG_ROD_Habitat_Mgmt_Areas_February_2020,0.8,0.5714285714285714,0.6666666666666666,0.0641025641025641,0.6,0.5,0.5454545454545454,4.801391124725342,4,1,3,70,3,2,3,70,eishab;acres;shape_length;shape_area
