,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair,skippedColumns
0,2.10_Budget_Presentation_Award_(summary),1.0,0.6,0.7499999999999999,0.0375,0.6666666666666666,0.5,0.5714285714285715,6.709995269775391,3,0,2,75,2,1,2,75,datevalue
1,3.09_Census_ACS_Post_Secondary_Education_(detail),0.9230769230769232,0.5217391304347826,0.6666666666666667,0.0188679245283018,0.3076923076923077,0.2666666666666666,0.2857142857142857,70.83736658096313,12,1,11,665,4,9,11,665,dataset;ge_oid;age_range;datevalue
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
7,adult-smoking-prevalence,1.0,0.2580645161290322,0.4102564102564102,0.0148148148148148,0.125,0.0416666666666666,0.0625,30.023449420928955,8,0,23,509,1,7,23,509,comparison
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.625,1.0,0.7692307692307693,0.0930232558139534,0.25,1.0,0.4,60.26837372779846,5,3,0,78,2,6,0,78,tmpid;tmpnm;adminst;admunitcd;admunm;tmpdecsndt;tmpdclracres;tmpurl;gisacres;blmacres;global_id;shape_length;shape_area
11,BLM_AZ_Wild_and_Scenic_River_(Line),1.0,0.6333333333333333,0.7755102040816326,0.0603174603174603,0.6842105263157895,0.5416666666666666,0.6046511627906976,25.351617336273197,19,0,11,285,13,6,11,285,wsrctgy;nlcsname;global_id;shape_length
12,BLM_CA_Wilderness_Study_Areas,0.9565217391304348,0.3492063492063492,0.5116279069767442,0.0418943533697632,0.6086956521739131,0.2545454545454545,0.358974358974359,95.14795207977296,22,1,41,485,14,9,41,485,nlcsname;wsarcmnd;roddate;global_id;wsacod_eca;modifydate;shape_area;shape_length
13,BLM_Colorado_NLCS_Wild_and_Scenic_Rivers_(Suitable_or_Eligible),1.0,0.4590163934426229,0.6292134831460674,0.0603448275862069,0.5714285714285714,0.3265306122448979,0.4155844155844155,2639.571594953537,28,0,33,403,16,12,33,403,wsrctgy;nlcsname;createdate;modifydate;coordsrc_two;global_id;createddate;lastediteddate;shape_length
14,BLM_Idaho_Land_Use_Planning_Poly,1.0,0.3461538461538461,0.5142857142857142,0.0620689655172413,0.1111111111111111,0.0555555555555555,0.074074074074074,193.89046549797055,9,0,17,119,1,8,17,119,lupanm;bndryinactdt;gisacres;global_id;createdate;createby;modifydate;modifyby;idaho_planning_descriptions;shape_area;shape_length
15,BLM_Natl_ROW_Gateway_West_TLine_Line,1.0,0.3333333333333333,0.5,0.0185185185185185,1.0,0.3333333333333333,0.5,6.861176729202271,1,0,2,51,1,0,2,51,segment;sourcefile;shape_length_two;shape_length
16,BLM_Natl_WesternUS_GRSG_ROD_Habitat_Mgmt_Areas_February_2020,0.8,0.5714285714285714,0.6666666666666666,0.0641025641025641,0.4,0.4,0.4000000000000001,8.334030866622925,4,1,3,70,2,3,3,70,eishab;acres;shape_length;shape_area
17,BLM_NV_Land_Use_Planning_Area_Existing_Polygons,1.0,0.4545454545454545,0.625,0.0444444444444444,0.4,0.25,0.3076923076923077,19.917863607406616,10,0,12,203,4,6,12,203,lupanm;bndryinac;gisacres;lastedi_one;shape_length;shape_area
18,BLM_OR_Administrative_Unit_Office_Point_Hub,0.875,0.358974358974359,0.509090909090909,0.0555555555555555,0.25,0.1379310344827586,0.1777777777777777,448.9849054813385,14,2,25,247,4,12,25,247,y;admuname;apprvdt;effdt;globalid
19,BLM_OR_Other_National_Designation_Polygon_Hub,0.7083333333333334,0.4473684210526316,0.5483870967741936,0.1008403361344537,0.5,0.3636363636363636,0.4210526315789474,48.65966606140137,17,7,21,193,12,12,21,193,ondname;shape_length;shape_area
20,BLM_OR_SEORMP_FEIS_Lands_with_Wilderness_Characteristics_Polygon_Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
21,BLM_UT_Congressionally_Designated_Recreation_Areas_(Polygon),1.0,0.1428571428571428,0.25,0.0256410256410256,1.0,0.1428571428571428,0.25,8.818345308303833,2,0,12,64,2,0,12,64,recsname;recstype;global_id;shape_length;shape_area
22,BLM_UT_National_Scenic_and_Historic_Trails_(Arc),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
23,cdph_ssi_nosurgfac_odp_2019,1.0,0.2,0.3333333333333333,0.0145454545454545,0.25,0.0588235294117647,0.0952380952380952,126.43631601333618,4,0,16,255,1,3,16,255,hai;facilityname;facilitytype;notes
